Letter,Number,Color
aaa,1,Black
aab,97,Gray
aac,87,Yellow
aad,19,White
aae,17,Red
aaf,97,Turquoise
aag,17,Orange
aah,14,Black
aai,26,Cyan
aaj,97,Black
aak,50,Magenta
aal,81,Black
aam,59,Magenta
aan,37,Blue
aao,100,Gray
aap,24,Gray
aaq,42,Brown
aar,60,Turquoise
aas,21,Black
aat,80,Blue
aau,67,Purple
aav,61,Green
aaw,74,Red
aax,75,Lavender
aay,19,Cyan
aaz,33,Yellow
aba,29,Blue
abb,45,White
abc,80,Pink
abd,16,Blue
abe,15,Pink
abf,100,Black
abg,38,Pink
abh,36,Orange
abi,68,Purple
abj,3,Lavender
abk,3,Purple
abl,47,Turquoise
abm,91,Yellow
abn,4,Purple
abo,34,Red
abp,65,Pink
abq,52,Turquoise
abr,30,Cyan
abs,89,Magenta
abt,52,Cyan
abu,50,Yellow
abv,48,Pink
abw,52,Green
abx,7,Blue
aby,8,Magenta
abz,32,Orange
aca,53,Yellow
acb,82,Gray
acc,90,Purple
acd,17,White
ace,58,White
acf,21,Blue
acg,73,Blue
ach,32,White
aci,57,Turquoise
acj,22,Brown
ack,99,Lavender
acl,99,Black
acm,5,Yellow
acn,30,Blue
aco,10,Turquoise
acp,41,Cyan
acq,2,Cyan
acr,26,Lavender
acs,53,Gray
act,85,Magenta
acu,20,Red
acv,96,Turquoise
acw,7,Brown
acx,15,Yellow
acy,93,White
acz,26,Pink
ada,88,Brown
adb,45,Blue
adc,36,Magenta
add,22,Turquoise
ade,85,Gray
adf,92,Orange
adg,1,Orange
adh,3,Brown
adi,11,Lavender
adj,20,Magenta
adk,58,Red
adl,34,Magenta
adm,87,Magenta
adn,23,White
ado,33,Magenta
adp,82,Turquoise
adq,6,Black
adr,70,Yellow
ads,5,Black
adt,42,Gray
adu,13,Cyan
adv,88,Orange
adw,82,Pink
adx,36,Gray
ady,29,Blue
adz,5,Purple
aea,30,White
aeb,67,Red
aec,18,Orange
aed,81,Lavender
aee,7,Cyan
aef,99,Yellow
aeg,81,Purple
aeh,18,Green
aei,67,Purple
aej,95,Red
aek,100,White
ael,57,Lavender
aem,73,Red
aen,30,Red
aeo,3,Pink
aep,51,Pink
aeq,91,Green
aer,21,Pink
aes,45,Orange
aet,75,Black
aeu,7,Turquoise
aev,87,Blue
aew,61,Cyan
aex,5,Purple
aey,46,Purple
aez,30,Gray
afa,77,Gray
afb,0,Blue
afc,11,Green
afd,5,Green
afe,95,White
aff,37,Magenta
afg,71,White
afh,34,Orange
afi,15,Brown
afj,18,Turquoise
afk,35,Lavender
afl,41,Orange
afm,28,Purple
afn,23,Black
afo,86,Lavender
afp,39,Turquoise
afq,99,Cyan
afr,43,Turquoise
afs,83,Yellow
aft,9,Orange
afu,82,Brown
afv,79,Black
afw,44,Blue
afx,59,Green
afy,81,Yellow
afz,39,Black
aga,19,Red
agb,34,Blue
agc,51,Black
agd,30,Blue
age,93,Purple
agf,64,Pink
agg,15,Brown
agh,35,Turquoise
agi,94,Purple
agj,78,Lavender
agk,29,Pink
agl,83,White
agm,41,Lavender
agn,74,Pink
ago,22,Purple
agp,16,Gray
agq,49,White
agr,55,Purple
ags,49,Blue
agt,16,Purple
agu,10,Gray
agv,54,Magenta
agw,30,White
agx,70,Cyan
agy,32,Black
agz,25,Cyan
aha,56,Black
ahb,86,Pink
ahc,72,Blue
ahd,59,Turquoise
ahe,50,Blue
ahf,10,Turquoise
ahg,41,Green
ahh,3,Lavender
ahi,62,Magenta
ahj,5,Lavender
ahk,42,Pink
ahl,61,Gray
ahm,57,Blue
ahn,80,Blue
aho,91,White
ahp,90,Green
ahq,76,Red
ahr,85,Black
ahs,19,Magenta
aht,60,White
ahu,64,Pink
ahv,65,Cyan
ahw,58,Lavender
ahx,12,Turquoise
ahy,4,White
ahz,88,Gray
aia,92,Green
aib,99,Turquoise
aic,15,Gray
aid,70,White
aie,13,Purple
aif,68,Turquoise
aig,100,Black
aih,4,Purple
aii,88,Yellow
aij,91,Orange
aik,43,Lavender
ail,55,Green
aim,71,Purple
ain,7,Pink
aio,43,Orange
aip,73,Brown
aiq,91,Purple
air,92,Cyan
ais,50,Pink
ait,0,White
aiu,20,Lavender
aiv,49,Turquoise
aiw,98,Blue
aix,18,Blue
aiy,38,Green
aiz,98,White
aja,53,White
ajb,54,Pink
ajc,32,Green
ajd,29,Turquoise
aje,25,Purple
ajf,40,Yellow
ajg,75,White
ajh,8,Red
aji,56,Red
ajj,36,Magenta
ajk,28,Yellow
ajl,92,Purple
ajm,86,White
ajn,11,Pink
ajo,18,Blue
ajp,88,Blue
ajq,31,Turquoise
ajr,5,Pink
ajs,27,Gray
ajt,92,Red
aju,73,Cyan
ajv,64,Lavender
ajw,97,Orange
ajx,70,Brown
ajy,74,Cyan
ajz,29,Gray
aka,22,Yellow
akb,16,Gray
akc,16,Brown
akd,66,Magenta
ake,56,Orange
akf,24,Red
akg,100,Black
akh,5,Green
aki,68,Yellow
akj,3,Red
akk,48,Cyan
akl,74,Blue
akm,41,Lavender
akn,27,Black
ako,84,Pink
akp,12,Green
akq,78,Green
akr,55,Black
aks,71,Yellow
akt,18,Cyan
aku,96,Brown
akv,71,Black
akw,10,Lavender
akx,80,Cyan
aky,97,Yellow
akz,34,Lavender
ala,2,Turquoise
alb,12,Turquoise
alc,63,Brown
ald,37,Magenta
ale,13,Blue
alf,14,Cyan
alg,68,Green
alh,32,Pink
ali,20,White
alj,66,Cyan
alk,7,Green
all,38,Pink
alm,44,Brown
aln,64,White
alo,46,Brown
alp,53,Yellow
alq,12,White
alr,35,Gray
als,90,Lavender
alt,38,Gray
alu,13,Purple
alv,4,Brown
alw,80,White
alx,52,Brown
aly,9,Turquoise
alz,90,Brown
ama,61,Cyan
amb,43,Yellow
amc,80,Purple
amd,2,White
ame,20,Cyan
amf,48,Pink
amg,51,Turquoise
amh,66,Purple
ami,14,Blue
amj,83,Turquoise
amk,45,Purple
aml,55,Turquoise
amm,71,Lavender
amn,84,Yellow
amo,26,Turquoise
amp,40,Cyan
amq,41,Lavender
