name,decimal,state,year
aaa,0.89,Ohio,1993
aae,0.87,Vermont,1992
aaf,0.05,Louisiana,1974
aag,0.22,Mississippi,1961
aai,0.1,Arkansas,1949
aas,0.15,Utah,1970
aat,0.86,Colorado,1962
aav,0.56,Rhode Island,1940
aba,0.79,Rhode Island,1988
abd,0.63,Louisiana,1906
abg,0.9,Utah,1964
abk,0.59,Mississippi,1921
abl,0.3,Illinois,1981
abm,0.69,Illinois,1909
abo,0.37,Delaware,1966
abp,0.64,Massachusetts,1977
abr,0.84,Rhode Island,1907
abt,0.26,Iowa,1997
abv,0.38,Wisconsin,1959
aby,0.27,Utah,1918
acd,0.4,North Carolina,1905
aci,0.51,South Dakota,1940
ack,0.43,Arizona,1992
acl,0.56,Wyoming,1965
acq,0.15,Maine,1929
act,0.3,Indiana,2019
adf,0.0,South Carolina,1909
adg,0.81,New Mexico,1987
adi,0.96,Montana,1913
adj,0.97,Florida,2006
adm,0.07,Arkansas,1959
adn,0.84,Michigan,1999
adq,0.38,Maryland,1970
adv,0.63,Massachusetts,1960
adw,0.48,Wisconsin,1911
adz,0.44,Virginia,1911
aeb,0.59,New Mexico,1927
aej,0.88,Virginia,1972
ael,0.42,Virginia,2004
aem,0.19,Idaho,1960
aeo,0.83,Mississippi,1999
aep,0.06,Idaho,1986
aeq,0.81,Missouri,1904
aet,0.59,Maine,1911
aey,1.0,Pennsylvania,1965
afa,0.97,Alabama,2015
afe,0.0,Tennessee,2000
afh,0.52,Maine,1956
afi,0.45,Louisiana,1984
afn,0.58,Ohio,1981
afo,0.73,Vermont,1905
afp,0.59,Maine,2018
afs,0.55,Kentucky,1954
aft,0.7,Connecticut,2023
afu,0.73,Georgia,2002
afw,0.42,Maine,1969
afz,0.64,Hawaii,1999
age,0.79,Michigan,1995
agi,0.94,Wisconsin,1960
agr,0.31,Oregon,1993
agx,0.44,Wisconsin,1914
ahd,0.9,Missouri,1973
ahn,0.14,Ohio,1935
aho,0.16,Illinois,1931
ahr,0.67,New Jersey,2005
ahs,0.5,South Carolina,1950
ahu,0.49,Ohio,2022
ahw,0.63,Maryland,2019
aie,0.96,Kentucky,1934
aif,0.1,Missouri,1955
aig,0.07,New York,1909
aii,0.31,Maine,1975
aij,0.21,Alabama,1975
aio,0.94,Colorado,1953
aip,0.95,Utah,1970
aiq,0.09,Montana,2014
aiv,0.84,Minnesota,1936
aix,0.43,Indiana,1972
ajf,0.16,Utah,1940
ajh,0.44,South Dakota,1909
aji,0.01,South Carolina,1901
ajk,0.28,South Dakota,1975
ajm,0.34,Hawaii,1940
ajo,0.75,Kentucky,1975
ajq,0.68,South Carolina,1971
ajr,0.43,Ohio,2023
ajw,0.44,Colorado,2017
ajz,0.34,Nevada,1916
akb,0.76,New Hampshire,2021
akc,0.91,Alaska,1942
akh,0.22,Florida,1991
akk,0.92,New York,1988
akm,0.17,New York,2021
akq,0.82,Arkansas,1993
akt,0.55,Wyoming,1907
akv,0.77,North Dakota,1973
ala,0.47,Wisconsin,1948
