state,year,emissions_per_cap
alabama,1970,29.7
alaska,1970,37.3
arizona,1970,13.9
arkansas,1970,18.7
california,1970,14.7
colorado,1970,19.4
connecticut,1970,15.7
delaware,1970,29.2
district of columbia,1970,18.0
florida,1970,15.2
georgia,1970,16.0
hawaii,1970,18.0
idaho,1970,14.3
illinois,1970,22.2
indiana,1970,33.1
iowa,1970,18.9
kansas,1970,22.7
kentucky,1970,26.7
louisiana,1970,39.5
maine,1970,16.9
maryland,1970,18.8
massachusetts,1970,17.5
michigan,1970,21.0
minnesota,1970,18.2
mississippi,1970,17.4
missouri,1970,18.5
montana,1970,20.6
nebraska,1970,18.5
nevada,1970,21.9
new hampshire,1970,17.3
new jersey,1970,18.0
new mexico,1970,34.2
new york,1970,15.6
north carolina,1970,19.1
north dakota,1970,23.8
ohio,1970,25.8
oklahoma,1970,21.6
oregon,1970,12.2
pennsylvania,1970,26.0
rhode island,1970,13.8
south carolina,1970,16.2
south dakota,1970,14.0
tennessee,1970,19.8
texas,1970,31.9
utah,1970,22.9
vermont,1970,12.4
virginia,1970,18.6
washington,1970,13.1
west virginia,1970,44.0
wisconsin,1970,19.9
wyoming,1970,55.7
alabama,1971,28.2
alaska,1971,40.0
arizona,1971,14.2
arkansas,1971,17.8
california,1971,15.0
colorado,1971,18.9
connecticut,1971,15.0
delaware,1971,28.2
district of columbia,1971,15.8
florida,1971,15.6
georgia,1971,16.9
hawaii,1971,18.8
idaho,1971,15.0
illinois,1971,21.8
indiana,1971,32.2
iowa,1971,18.7
kansas,1971,23.5
kentucky,1971,26.8
louisiana,1971,39.5
maine,1971,20.3
maryland,1971,18.8
massachusetts,1971,17.4
michigan,1971,21.5
minnesota,1971,17.8
mississippi,1971,17.9
missouri,1971,18.8
montana,1971,20.9
nebraska,1971,18.3
nevada,1971,26.5
new hampshire,1971,17.5
new jersey,1971,17.2
new mexico,1971,35.3
new york,1971,15.1
north carolina,1971,19.1
north dakota,1971,25.4
ohio,1971,25.1
oklahoma,1971,21.5
oregon,1971,12.6
pennsylvania,1971,25.5
rhode island,1971,14.1
south carolina,1971,16.5
south dakota,1971,13.9
tennessee,1971,19.0
texas,1971,32.6
utah,1971,23.2
vermont,1971,12.1
virginia,1971,18.4
washington,1971,13.4
west virginia,1971,44.0
wisconsin,1971,19.0
wyoming,1971,55.3
alabama,1972,29.7
alaska,1972,41.4
arizona,1972,15.0
arkansas,1972,18.4
california,1972,15.2
colorado,1972,19.7
connecticut,1972,15.4
delaware,1972,27.9
district of columbia,1972,15.2
florida,1972,16.2
georgia,1972,18.0
hawaii,1972,18.7
idaho,1972,15.3
illinois,1972,22.5
indiana,1972,34.7
iowa,1972,19.7
kansas,1972,24.9
kentucky,1972,28.2
louisiana,1972,41.3
maine,1972,21.4
maryland,1972,18.7
massachusetts,1972,18.0
michigan,1972,22.1
minnesota,1972,18.8
mississippi,1972,18.8
missouri,1972,19.9
montana,1972,21.8
nebraska,1972,19.4
nevada,1972,34.6
new hampshire,1972,18.0
new jersey,1972,17.4
new mexico,1972,36.8
new york,1972,14.9
north carolina,1972,19.7
north dakota,1972,26.7
ohio,1972,26.5
oklahoma,1972,22.3
oregon,1972,13.4
pennsylvania,1972,26.4
rhode island,1972,13.8
south carolina,1972,17.2
south dakota,1972,14.3
tennessee,1972,21.2
texas,1972,33.9
utah,1972,22.7
vermont,1972,12.5
virginia,1972,18.4
washington,1972,15.2
west virginia,1972,49.5
wisconsin,1972,18.7
wyoming,1972,62.4
alabama,1973,30.6
alaska,1973,37.7
arizona,1973,16.2
arkansas,1973,19.8
california,1973,15.8
colorado,1973,20.5
connecticut,1973,15.8
delaware,1973,29.8
district of columbia,1973,16.2
florida,1973,16.7
georgia,1973,19.0
hawaii,1973,18.7
idaho,1973,15.3
illinois,1973,22.8
indiana,1973,35.3
iowa,1973,20.8
kansas,1973,25.2
kentucky,1973,28.0
louisiana,1973,44.6
maine,1973,20.4
maryland,1973,19.9
massachusetts,1973,17.9
michigan,1973,22.0
minnesota,1973,19.5
mississippi,1973,18.8
missouri,1973,20.9
montana,1973,23.4
nebraska,1973,19.7
nevada,1973,35.3
new hampshire,1973,17.0
new jersey,1973,17.9
new mexico,1973,36.2
new york,1973,15.4
north carolina,1973,20.2
north dakota,1973,25.9
ohio,1973,27.1
oklahoma,1973,22.2
oregon,1973,13.2
pennsylvania,1973,27.4
rhode island,1973,12.9
south carolina,1973,17.6
south dakota,1973,13.9
tennessee,1973,23.8
texas,1973,36.2
utah,1973,24.1
vermont,1973,12.7
virginia,1973,18.3
washington,1973,16.5
west virginia,1973,54.0
wisconsin,1973,18.9
wyoming,1973,66.9
alabama,1974,30.0
alaska,1974,37.5
arizona,1974,16.5
arkansas,1974,18.6
california,1974,14.4
colorado,1974,19.9
connecticut,1974,14.8
delaware,1974,28.7
district of columbia,1974,13.7
florida,1974,15.0
georgia,1974,18.3
hawaii,1974,17.4
idaho,1974,14.9
illinois,1974,22.4
indiana,1974,33.9
iowa,1974,19.6
kansas,1974,25.3
kentucky,1974,27.9
louisiana,1974,45.1
maine,1974,17.7
maryland,1974,18.5
massachusetts,1974,16.4
michigan,1974,20.9
minnesota,1974,19.1
mississippi,1974,18.2
missouri,1974,20.4
montana,1974,22.5
nebraska,1974,18.9
nevada,1974,34.2
new hampshire,1974,15.4
new jersey,1974,16.3
new mexico,1974,35.9
new york,1974,14.3
north carolina,1974,19.1
north dakota,1974,26.6
ohio,1974,27.1
oklahoma,1974,22.6
oregon,1974,12.0
pennsylvania,1974,25.7
rhode island,1974,12.1
south carolina,1974,16.1
south dakota,1974,13.5
tennessee,1974,21.4
texas,1974,34.8
utah,1974,24.7
vermont,1974,11.2
virginia,1974,17.1
washington,1974,15.0
west virginia,1974,55.3
wisconsin,1974,18.1
wyoming,1974,65.3
alabama,1975,29.3
alaska,1975,38.6
arizona,1975,16.7
arkansas,1975,16.8
california,1975,14.5
colorado,1975,20.0
connecticut,1975,13.5
delaware,1975,26.5
district of columbia,1975,11.2
florida,1975,14.8
georgia,1975,18.1
hawaii,1975,17.2
idaho,1975,15.8
illinois,1975,21.7
indiana,1975,33.4
iowa,1975,19.1
kansas,1975,25.2
kentucky,1975,26.3
louisiana,1975,41.1
maine,1975,15.0
maryland,1975,16.2
massachusetts,1975,15.9
michigan,1975,21.0
minnesota,1975,18.5
mississippi,1975,17.0
missouri,1975,21.0
montana,1975,22.5
nebraska,1975,18.6
nevada,1975,33.8
new hampshire,1975,15.2
new jersey,1975,14.4
new mexico,1975,33.8
new york,1975,13.6
north carolina,1975,17.2
north dakota,1975,25.4
ohio,1975,26.4
oklahoma,1975,22.5
oregon,1975,11.5
pennsylvania,1975,24.5
rhode island,1975,11.1
south carolina,1975,14.7
south dakota,1975,16.0
tennessee,1975,21.0
texas,1975,32.4
utah,1975,25.1
vermont,1975,10.8
virginia,1975,16.1
washington,1975,15.2
west virginia,1975,53.1
wisconsin,1975,17.6
wyoming,1975,66.3
alabama,1976,28.9
alaska,1976,39.8
arizona,1976,18.7
arkansas,1976,17.9
california,1976,14.9
colorado,1976,20.9
connecticut,1976,14.1
delaware,1976,27.4
district of columbia,1976,11.1
florida,1976,15.5
georgia,1976,18.7
hawaii,1976,17.3
idaho,1976,15.1
illinois,1976,22.4
indiana,1976,33.7
iowa,1976,20.2
kansas,1976,26.3
kentucky,1976,28.6
louisiana,1976,46.2
maine,1976,17.1
maryland,1976,17.5
massachusetts,1976,16.8
michigan,1976,21.2
minnesota,1976,19.6
mississippi,1976,17.8
missouri,1976,22.2
montana,1976,25.7
nebraska,1976,20.1
nevada,1976,34.4
new hampshire,1976,16.2
new jersey,1976,16.0
new mexico,1976,35.3
new york,1976,14.6
north carolina,1976,18.9
north dakota,1976,28.8
ohio,1976,27.6
oklahoma,1976,24.4
oregon,1976,11.2
pennsylvania,1976,25.9
rhode island,1976,11.2
south carolina,1976,17.2
south dakota,1976,18.2
tennessee,1976,23.5
texas,1976,32.7
utah,1976,24.1
vermont,1976,12.1
virginia,1976,16.8
washington,1976,14.9
west virginia,1976,55.4
wisconsin,1976,18.3
wyoming,1976,77.7
alabama,1977,29.5
alaska,1977,44.5
arizona,1977,20.8
arkansas,1977,18.9
california,1977,15.9
colorado,1977,21.6
connecticut,1977,14.0
delaware,1977,27.3
district of columbia,1977,11.7
florida,1977,15.6
georgia,1977,20.1
hawaii,1977,18.2
idaho,1977,14.6
illinois,1977,22.5
indiana,1977,34.3
iowa,1977,20.2
kansas,1977,26.7
kentucky,1977,28.4
louisiana,1977,51.0
maine,1977,17.2
maryland,1977,16.2
massachusetts,1977,16.6
michigan,1977,20.2
minnesota,1977,19.9
mississippi,1977,19.2
missouri,1977,22.9
montana,1977,26.8
nebraska,1977,20.0
nevada,1977,35.0
new hampshire,1977,16.2
new jersey,1977,15.4
new mexico,1977,34.3
new york,1977,14.6
north carolina,1977,19.0
north dakota,1977,30.6
ohio,1977,27.3
oklahoma,1977,25.2
oregon,1977,11.2
pennsylvania,1977,25.5
rhode island,1977,11.6
